File,Area (ha),Carbon,Risk
GMW_N00E073_1996_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2007_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2008_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2009_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2010_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2015_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2016_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2017_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2018_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2019_v3.tif,10.08,1008.0,Moderate
GMW_N00E073_2020_v3.tif,10.08,1008.0,Moderate
GMW_N01E072_1996_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2007_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2008_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2009_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2010_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2015_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2016_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2017_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2018_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2019_v3.tif,3.42,342.0,Severe Loss
GMW_N01E072_2020_v3.tif,3.42,342.0,Severe Loss
GMW_N05E073_1996_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2007_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2008_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2009_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2010_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2015_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2016_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2017_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2018_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2019_v3.tif,3.15,315.0,Severe Loss
GMW_N05E073_2020_v3.tif,3.15,315.0,Severe Loss
GMW_N06E073_1996_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2007_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2008_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2009_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2010_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2015_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2016_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2017_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2018_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2019_v3.tif,42.3,4230.0,Moderate
GMW_N06E073_2020_v3.tif,42.3,4230.0,Moderate
GMW_N06E080_1996_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2007_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2008_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2009_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2010_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2015_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2016_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2017_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2018_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2019_v3.tif,7.74,774.0,Severe Loss
GMW_N06E080_2020_v3.tif,7.74,774.0,Severe Loss
GMW_N07E072_1996_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2007_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2008_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2009_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2010_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2015_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2016_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2017_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2018_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2019_v3.tif,1.35,135.0,Severe Loss
GMW_N07E072_2020_v3.tif,1.35,135.0,Severe Loss
GMW_N07E073_1996_v3.tif,83.7,8370.0,Healthy
